trade_id,trade_type,ccy,notional,scenario_id,metric,value
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,BASE,base_pv,-11388163.0083
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,BASE,base_pv,-129663.54627102107
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,BASE,stressed_pv,-11388299.66079
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,FX_SPOT_UP_1PCT,stressed_pv,-11193163.464235399
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,RATES_UP_1BP,stressed_pv,-11388012.813322851
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,BASE,stressed_pv,-129665.1021713403
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,FX_SPOT_UP_1PCT,stressed_pv,-124828.35807068656
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,RATES_UP_1BP,stressed_pv,-130253.43513990317
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,BASE,impact,0.0
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,FX_SPOT_UP_1PCT,impact,194999.54406460188
DEMO_FXFWD_01,fx_forward,GBP,31250000.0,RATES_UP_1BP,impact,150.19497714936733
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,BASE,impact,0.0
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,FX_SPOT_UP_1PCT,impact,4835.188200334509
DEMO_FXSWAP_01,fx_swap,GBP,62500000.0,RATES_UP_1BP,impact,-589.8888688821025
